Rank,Canonical SMILES,rbl
0,C[P@](=O)(O[M])O,0.297667205
1,C12C(C3C(C1C=CC=C2)C=CC=C3)=[P](C=[P](CCCCO[M])(C4=CC=CC=C4)C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.276468543
2,C1C(C(C(C(O1[M])O)O)O)O,0.271688466
3,C1=C(C(=CC(=C1O)[S](=O)(O)=O)[S](=O)(O)=O)O[M],0.268795435
4,C(CCC(C(=O)O[M])[N])(O)=O,0.246874953
5,C1(=CC=C(C=C1)Br)C(C=C)[P](=O)(O)O[M],0.241568795
6,N(C(=O)O[M])(C1=CC=CC=C1)C2=CC=CC=C2,0.238978546
7,C1=CC=CC(=C1[N]CC2=CC=CC(=C2O)OC)C(O[M])=O,0.235897463
8,C1(=CC=C(C=C1)C([S](O[M])(=O)=O)O)OC,0.231679513
9,C(N(CCOC)C=C([Si](C)(C)C)[Si](C)(C)C)CO([M])C,0.229548437
10,C=C[C@H]([S@@](=[O][M])(=O)O)c1ccc(cc1)Br,0.226376712
11,[M]OCCCCP(=CP(=C1c2ccccc2-c2c1cccc2)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,0.22464329
12,[M][O](c1cc(OCCOCCO[B]234[BH]567[BH]892[BH]23[BH]3%109[BH]968[BH]687[BH]45[C@@]46[C@]23[BH]%10984)cc(c1)/C/1=C/2\C=CC(=N2)/C(=C\2/C=C/C(=C(/C3=N/C(=C(\C4=CC=C1N4)/c1ccccc1)/C=C3)\c1cc(OCCOCCO[B]345[BH]678[BH]9%103[BH]34[BH]4%11%10[BH]%1079[BH]798[BH]56[C@@]57[C@]34[BH]%11%1095)cc(c1)OCCOCCO[B]134[BH]567[BH]891[BH]13[BH]3%109[BH]968[BH]687[BH]45[C@@]46[C@]13[BH]%10984)/N2)/c1ccccc1)CCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873,0.220698476
13,[M]OC1CCCCC1,0.214024663
14,COCCOCCOCC[C]1234[C]567([BH]891[BH]1%104[BH]4%113[BH]325[BH]256[BH]678[BH]791[BH]1%10%11[BH]432[BH]5671)/C(=[O]\[M])/O,0.197368145
15,C/C(=[O]/[M])/O,0.19665426
16,O[C@@H]1C[O]([M])[C@@H]([C@@H]([C@@H]1O)O)O,0.195958257
17,[M]/[O]=C(\CC[C@H](C(=O)O)N)/O,0.191986084
18,OCC[C]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[C]34(CCO[M])[BH]36[BH]12[BH]9873,0.19131887
19,COc1ccc(cc1)[C@H]([S@@](=[O][M])(=O)O)O,0.191208065
20,CO[C@@H]([C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@@H]([C@H](O5)C)O)[C@@H]([C@H]([O]4[M])C)O)c(c(c3c(c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@@H]3O[C@H](C)[C@H]([C@@](C3)(C)O)O)[C@H]([C@H](O2)C)O)[C@@H]([C@H](O1)C)O)O)O)C)C(=O)N[C@H](C(=O)OC)Cc1ccccc1,0.182972848
21,[M]OC(=O)N(c1ccccc1)c1ccccc1,0.180690765
22,[M][O](CCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873)CCOc1c2cc(cc1Cc1cc(cc(c1O)Cc1c(c(Cc3c(c(C2)cc(c3)C(C)(C)C)O)cc(c1)C(C)(C)C)O)C(C)(C)C)C(C)(C)C,0.175091028
23,[M]OS(=O)(=O)c1cc(c(cc1O)O)S(=O)(=O)O,0.172019362
24,C[O](c1ccc(cc1)S(=O)(=O)Oc1c(c(C)c(cc1C(C)(C)C)C)c1c(C)c(C)cc(c1O)C(C)(C)C)[M],0.171366751
25,CC1=NN(C(=C1)C)[C@H](P(=Nc1ccccc1[O]([M])C)(c1ccccc1)c1ccccc1)N1N=C(C=C1C)C,0.169530988
26,Oc1c2Cc3cc(cc(c3OCCOCCO[B]345[BH]67[BH]895[BH]5%104[BH]43[C@]3%11[C@]%126[BH]678[BH]79%10[BH]543[BH]%11%1267)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)[O](CCOCCO[B]124[BH]56[BH]784[BH]492[BH]21[C@]1%10[C@]%115[BH]567[BH]689[BH]421[BH]%10%1156)[M])c3O)C(C)(C)C)C(C)(C)C,0.168453634
27,[M]OC(=O)c1ccccc1/N=C/c1cccc(c1O)OC,0.16607815
28,[M][O](CCO[B]123[BH]45[BH]673[BH]382[BH]21[C@]19[C@]%104[BH]456[BH]578[BH]321[BH]9%1045)CCOc1c2Cc3cc(cc(c3O)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)O)c3OCCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873)C(C)(C)C)C(C)(C)C,0.165818095
29,[M]O[C]1234[C]567([BH]893[BH]3%102[BH]2%111[BH]145[BH]456[BH]678[BH]79%10[BH]832[BH]%1114[BH]5678)C(=O)O,0.165157497
30,COCCN(CC(/C(=C\[Si](C)(C)C)/C[Si](C)(C)C)(C)C)CC[O]([M])C,0.162664294
31,[M]OC(C(P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,0.162400365
32,[M]/[O]=C(/c1cc(N)c(cc1N)C(=O)O)\O,0.161655605
33,[M]O[P@](=O)([C@](P(=O)(O)O)(O)C)O,0.161269665
34,NCCS(=O)(=O)O[M],0.159184575
35,C[O](c1ccc(cc1)/C/1=C\2/N=C(c3c2cccc3)/N=C/2\N=C(c3c2cc2c(c3)C(C)(C)CCC2(C)C)/N=C/2\N=C(/N=C/3\N=C1c1cc4c(cc31)C(C)(C)CCC4(C)C)c1cc3c(cc21)C(C)(C)CCC3(C)C)[M],0.158706188
36,[M][O]=[S@@](=O)(c1cccc(c1)P(c1ccccc1)c1ccccc1)O,0.156053424
37,[M][O](c1c2cc(cc1Cc1cc(cc(c1O)Cc1c(c(Cc3c(c(C2)cc(c3)C(C)(C)C)O)cc(c1)C(C)(C)C)O)C(C)(C)C)C(C)(C)C)CCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873,0.155852437
38,[M]OC(=O)c1cc(cc(c1)/C/1=C/2\C=C/C(=C(/C3=N/C(=C(\C4=CC=C(/C(=C/5\N=C1C=C5)/c1cc(cc(c1)C(=O)O)C(=O)O)N4)/c1cc(cc(c1)C(=O)O)C(=O)O)/C=C3)\c1cc(cc(c1)C(=O)O)C(=O)O)/N2)C(=O)O,0.155818343
39,[M]OC(=O)C(c1ccccc1)(C)C,0.153635383
40,CC[C@@H](CO[M])N,0.151717067
41,C[C@@H](C1=CC=CC1)Nc1ccccc1[O]([M])C,0.151704848
42,O/C(=[O]\[M])/c1cc(ncn1)C(=O)O,0.151133835
43,[M]OC(=O)CC/N=C/c1cccc(c1O)OC,0.149462581
44,[M]OC(CCCN(C)C)(CCCN(C)C)CCCN(C)C,0.149169922
45,CCCCCCN(C(=O)C[O](c1c2cc(cc1Cc1cc(cc(c1O)Cc1c(c(Cc3c(c(C2)cc(c3)C(C)(C)C)O)cc(c1)C(C)(C)C)OCC(=O)O)C(C)(C)C)C(C)(C)C)[M])CCCCCC,0.148813426
46,[M]O[P@](=O)(Cc1cccc(c1)CP(=O)(O)O)O,0.147174478
47,OC[C@]1(O)O[C@H]([C@H]2C[C@@H]([C@]3(O2)O[C@H](CC[C@H]3C)[C@]2(C)CC[C@@]3(O2)C[C@H](O)[C@H]([C@H](O3)[C@H](/C=C(/C(=O)[C@@H](C[C@@H](C(=O)O)C)C)\C)C)C)C)[C@H]([C@@H]([C@H]1C)O[C@H]1CC[C@@H]([C@H](O1)C)[O]([M])C)C,0.14706862
48,[M][O](CCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873)CCOCCCC[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873,0.144970238
49,[M]/[O]=C(\c1ccccc1S)/O,0.144117951
50,[M][O](Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C)Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C,0.142167985
51,[M]/[O]=C(/CN1CCCN(CCC1)CC(=O)O)\O,0.138365269
52,O[C@@H](C(=O)O[M])CO,0.138279855
53,N=Cc1cccc(c1O)[O]([M])C,0.138227582
